Customer Number_x,Account Name,Certificate Number,Registration Type,Certificate Status,Status Date,Address Line 1,Address Line 2,City-State-Zip,County,Customer Number_y,Year,Dogs,Cats,Guinea Pigs,Hamsters,Rabbits,Non-Human Primates,Sheep,Pigs,Other Farm Animals,All Other Animals,latitude,longitude,Exception Report
18462,Rocky Mountain Bio Labs,84-R-0065,Class R - Research Facility,Active,,PO BOX 519,,"Crested Butte, CO 81224",Gunnison,18462,2024,,,,,,,,,,,38.880713,-106.94868,False
18820,Valley Biosystems,93-R-0479,Class R - Research Facility,Active,,P.O. Box 2216,,"West Sacramento, CA 95691",Yolo,18820,2024,,,,,,371.0,,,,,38.591854,-121.537801,False
18920,Research Institute At Nationwide Childrens Hospital,31-R-0116,Class R - Research Facility,Active,,700 CHILDRENS DRIVE,,"COLUMBUS, OH 43205",Franklin,18920,2024,,,,,161.0,,133.0,189.0,,,39.952545,-82.979164,True
19782,Pharmgate Biologics INC,41-R-0063,Class R - Research Facility,Active,,2575 UNIVERSITY AVE W SUITE 100,,"SAINT PAUL, MN 55114",Ramsey,19782,2024,,,36.0,,,,,,,,44.967303,-93.203667,False
20133,US Government Smithsonian Institution (National Zoological Park),10-F-0010,Class F - Federal Research Facility,Active,,PO BOX 37012/MRC 5508,,"WASHINGTON, DC 20013",District of Columbia,20133,2024,,7.0,,,,1.0,,,,,38.911936,-77.016719,False
20222,University Of Central Arkansas,71-R-0112,Class R - Research Facility,Active,,"Dept. of Biology, 180 Lewis Science Center",,"CONWAY, AR 72035",Faulkner,20222,2024,,,,,,,,,,,35.134228,-92.35667,False
21308,Ibex Preclinical Research Inc.,87-R-0022,Class R - Research Facility,Active,,1072 West Rsi Drive,,"Logan, UT 84321",Cache,21308,2024,51.0,,,,293.0,,9.0,121.0,9.0,,41.757018,-111.860815,False
21373,Novartis Institutes For Biomedical Research Inc,14-R-0164,Class R - Research Facility,Active,,181 Massachusetts Ave,"Attn: Head, Animal Welfare Compliance","Cambridge, MA 02139",Middlesex,21373,2024,,,299.0,,72.0,,,,,,42.361003,-71.095935,False
22308,Hygieia Biological Laboratories,93-R-0571,Class R - Research Facility,Active,,P.O. BOX 8300,,"WOODLAND, CA 95776",Yolo,22308,2024,,,,,,,,,,,38.74388,-121.915653,False
23329,"Sound Pharmaceuticals, Inc.",91-R-0080,Class R - Research Facility,Active,,4010 Stone Way N,Suite 120,"Seattle, WA 98103",King,23329,2024,,,38.0,,,,,,,,47.65576,-122.342078,False
23918,Biomedical Research Models Inc (BIOMERE),14-R-0192,Class R - Research Facility,Active,,57 Union Street,,"Worcester, MA 01608",Worcester,23918,2024,,,,,170.0,965.0,,10.0,,,42.268975,-71.79779,False
24236,American Veterinary Medical Association,33-R-0132,Class R - Research Facility,Active,,1931 N MEACHAM ROAD,,"SCHAUMBURG, IL 60173",Cook,24236,2024,10.0,10.0,,,,,,,,,42.064732,-88.042145,False
25376,Suny College At Cortland,21-R-0208,Class R - Research Facility,Active,,BOWERS HALL ANIMAL FACILITY,ROOM 250,"CORTLAND, NY 13045",Cortland,25376,2024,,,,,,,,,,,42.608647,-76.177254,False
25517,Bertek Inc,71-R-0107,Class R - Research Facility,Active,,PO Box 606,,"Greenbrier, AR 72058",Faulkner,25517,2024,212.0,21.0,,,370.0,,,,,,35.211744,-92.376242,False
25886,Mars Petcare US,63-R-0127,Class R - Research Facility,Active,,2013 Ovation Pkwy,,"FRANKLIN, TN 37067",Williamson,25886,2024,77.0,104.0,,,,,,,,,35.929819,-86.805329,True
26617,Biomodels LLC,14-R-0168,Class R - Research Facility,Active,,360 Second Avenue,Suite 1,"WALTHAM, MA 02451",Middlesex,26617,2024,,,,94.0,,,,,,,42.388052,-71.267735,False
26622,Florida International University,58-R-0136,Class R - Research Facility,Active,,"UNIVERSITY PARK, MARC 430",11200 SW  8TH ST,"MIAMI, FL 33199",Miami-Dade,26622,2024,,,,,,,,16.0,,,25.774266,-80.193659,False
27962,California State University San Marcos,93-R-0492,Class R - Research Facility,Active,,333 Twin Oaks Valley Road,,"San Marcos, CA 92096",San Diego,27962,2024,,,,,,,,,,,33.126659,-117.155086,False
28223,Austin College,74-R-0213,Class R - Research Facility,Active,,900 North Grand Avenue,,"SHERMAN, TX 75090",Grayson,28223,2024,,,,,,,,,,,33.646894,-96.598755,False
28373,Asheville Buncombe Technical Community College,55-R-0125,Class R - Research Facility,Active,,340 Victoria Rd,Veterinary Medical Tech Dept,"Asheville, NC 28801",Buncombe,28373,2024,,,,,,,,,,,35.570056,-82.553447,False
28833,Struve Labs International Inc,42-R-0053,Class R - Research Facility,Active,,1603 Enterprise St,,"Manning, IA 51455",Carroll,28833,2024,,,,,,,,,,,41.90717,-95.078699,False
29771,R&D System Inc,41-R-0071,Class R - Research Facility,Active,,614 McKinley Pl NE,,"Minneapolis, MN 55413",Hennepin,29771,2024,,,,,,,16.0,,245.0,,44.995347,-93.228793,False
30222,Cheri Hill Kennel and Supply Inc,34-R-0153,Class R - Research Facility,Active,,17190 POLK ROAD,,"STANWOOD, MI 49346",Mecosta,30222,2024,,,,,,,,,,,43.562404,-85.424987,False
